node1	label	node2	id
P3260	datatype	quantity	P3260-datatype-1a7b30
P3260	Psort_criterion	qualifier	P3260-Psort_criterion-5da6e4
P3260-Psort_criterion-5da6e4	Psort_qualifier	P518	P3260-Psort_criterion-5da6e4-Psort_qualifier-P518
P3260-Psort_criterion-5da6e4	Psort_order	asc	P3260-Psort_criterion-5da6e4-Psort_order-d68d3f
P3260-Psort_criterion-5da6e4	datatype	wikibase-item	P3260-Psort_criterion-5da6e4-datatype-643cc9
P3261	datatype	wikibase-item	P3261-datatype-643cc9
P3261	Psort_order	asc	P3261-Psort_order-d68d3f
P3261	Psort_criterion	value	P3261-Psort_criterion-cd4240
P3262	datatype	wikibase-item	P3262-datatype-643cc9
P3262	Psort_order	asc	P3262-Psort_order-d68d3f
P3262	Psort_criterion	value	P3262-Psort_criterion-cd4240
P3263	datatype	wikibase-item	P3263-datatype-643cc9
P3263	Psort_criterion	qualifier	P3263-Psort_criterion-5da6e4
P3263-Psort_criterion-5da6e4	Psort_qualifier	P642	P3263-Psort_criterion-5da6e4-Psort_qualifier-P642
P3263-Psort_criterion-5da6e4	Psort_order	asc	P3263-Psort_criterion-5da6e4-Psort_order-d68d3f
P3263-Psort_criterion-5da6e4	datatype	wikibase-item	P3263-Psort_criterion-5da6e4-datatype-643cc9
P3264	datatype	wikibase-item	P3264-datatype-643cc9
P3264	Psort_order	asc	P3264-Psort_order-d68d3f
P3264	Psort_criterion	value	P3264-Psort_criterion-cd4240
P3265	datatype	external-id	P3265-datatype-1a57bf
P3265	Psort_order	asc	P3265-Psort_order-d68d3f
P3265	Psort_criterion	value	P3265-Psort_criterion-cd4240
P3266	datatype	external-id	P3266-datatype-1a57bf
P3266	Psort_order	asc	P3266-Psort_order-d68d3f
P3266	Psort_criterion	value	P3266-Psort_criterion-cd4240
P3267	datatype	external-id	P3267-datatype-1a57bf
P3267	Psort_order	asc	P3267-Psort_order-d68d3f
P3267	Psort_criterion	value	P3267-Psort_criterion-cd4240
P3268	datatype	url	P3268-datatype-28e5eb
P3268	Psort_order	asc	P3268-Psort_order-d68d3f
P3268	Psort_criterion	value	P3268-Psort_criterion-cd4240
P3269	datatype	external-id	P3269-datatype-1a57bf
P3269	Psort_order	asc	P3269-Psort_order-d68d3f
P3269	Psort_criterion	value	P3269-Psort_criterion-cd4240
P3270	datatype	quantity	P3270-datatype-1a7b30
P3270	Psort_order	asc	P3270-Psort_order-d68d3f
P3270	Psort_criterion	value	P3270-Psort_criterion-cd4240
P3271	datatype	quantity	P3271-datatype-1a7b30
P3271	Psort_order	asc	P3271-Psort_order-d68d3f
P3271	Psort_criterion	value	P3271-Psort_criterion-cd4240
P3272	datatype	external-id	P3272-datatype-1a57bf
P3272	Psort_order	asc	P3272-Psort_order-d68d3f
P3272	Psort_criterion	value	P3272-Psort_criterion-cd4240
P3273	datatype	external-id	P3273-datatype-1a57bf
P3273	Psort_order	asc	P3273-Psort_order-d68d3f
P3273	Psort_criterion	value	P3273-Psort_criterion-cd4240
P3274	datatype	wikibase-item	P3274-datatype-643cc9
